keyword_id,target_customer_type,country_or_region,city,keyword_pattern,example_search_query,search_intent,keyword_intent_type,priority_level,keyword_status,used_recently,last_used_at,next_allowed_at,cooldown_days,blocked_reason,manual_review_required,discovery_quality_score,contactability_score,total_runs,total_leads_collected,ready_to_contact_count,contact_found_count,duplicate_count,news_only_count,no_contact_count,relevance_ratio,notes,last_updated,change_note
KW-0001,restaurant group,Australia,,restaurant group Australia contact,,"Generator: template=T1, risk=low",Discovery,high,New,Yes,2026-05-29T14:15:15.786729,2026-06-12T14:15:15.786729,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0002,restaurant owner,Australia,,restaurant owner Australia contact,,"Generator: template=T1, risk=low",Discovery,high,New,Yes,2026-05-29T14:15:15.785279,2026-06-12T14:15:15.785279,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0003,restaurant group,Australia,,restaurant group owner Australia,,"Generator: template=T2, risk=medium",Discovery,high,New,Yes,2026-05-29T14:15:15.787385,2026-06-12T14:15:15.787385,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0004,restaurant owner,Australia,,restaurant owner owner Australia,,"Generator: template=T2, risk=medium",Discovery,high,New,Yes,2026-05-29T14:15:15.786078,2026-06-12T14:15:15.786078,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0005,restaurant group,Australia,,group restaurant group head office Australia,,"Generator: template=T3, risk=low",Discovery,medium,New,Yes,2026-05-29T14:15:15.788007,2026-06-12T14:15:15.788007,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0006,hotel group,Australia,,hotel group Australia contact,,"Generator: template=T1, risk=low",Discovery,high,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0007,hotel F&B manager,Australia,,hotel F&B manager Australia contact,,"Generator: template=T1, risk=low",Discovery,high,New,Yes,2026-05-29T14:50:33.060508,2026-06-12T14:50:33.060508,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0008,pub group,Australia,,pub group Australia contact,,"Generator: template=T1, risk=low",Discovery,high,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0009,hotel group,Australia,,hotel group owner Australia,,"Generator: template=T2, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.053350,2026-06-12T14:50:33.053350,14,,,0.5,0.0,1,1,0,0,,,,,,,
KW-0010,hotel F&B manager,Australia,,hotel F&B manager owner Australia,,"Generator: template=T2, risk=medium",Discovery,high,New,Yes,2026-05-29T14:50:33.054392,2026-06-12T14:50:33.054392,14,,,0.5,0.0,1,1,0,0,,,,,,,
