"priority_score","review_bucket","queue_rank","lead_id","company_name","source_url","source_count","additional_source_urls","candidate_type","candidate_value","candidate_context","confidence_suggestion","save_recommendation"
"72","company_contact_page","61","AU-0414","Explore Franchise Opportunities - Mad Mex","https://madmex.com.au","2","https://www.madmex.com.au/contact-us/","contact_link","https://www.madmex.com.au/contact-us/","https://www.madmex.com.au/contact-us/","Medium","Review linked page for contact/form/KP details."
"70","company_linkedin","61","AU-0414","Explore Franchise Opportunities - Mad Mex","https://madmex.com.au","3","https://www.madmex.com.au/contact-us/","company_linkedin_url","https://www.linkedin.com/company/mad-mex-au/","https://www.linkedin.com/company/mad-mex-au/","Low","Use as a manual LinkedIn review URL; do not treat as verified direct contact until person/company fit is confirmed."
"50","kp_context_hint","61","AU-0414","Explore Franchise Opportunities - Mad Mex","https://madmex.com.au","1","","role_context","crew","f the Grill Get the latest on what’s cooking at Mad Mex – new menu drops, fresh flavours and bold updates that keep our crew mad for it. From behind-the-scenes stories to big announcements, this is where the heat happens. GO TO BLOG Gallery Featured GET THE MAD MEX APP NOW Don't miss out! Download t","Low","Use as a page-level KP hint; confirm person name/title before saving."
"13","technical_status","61","AU-0414","Explore Franchise Opportunities - Mad Mex","https://madmex.com.au","1","","fetch_status","https://madmex.com.au","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","61","AU-0414","Explore Franchise Opportunities - Mad Mex","https://www.madmex.com.au/contact-us/","1","","fetch_status","https://www.madmex.com.au/contact-us/","","High","Fetch status: 200. Use only if page fetched successfully."
"114","department_or_company_email","62","AU-0427","Restaurant — Mimosa Wines","https://mimosawines.com.au","3","","email","info@mimosawines.com.au","To Top Mimosa Wines, 2845 Tathra-Bermagui Road, Murrah, NSW, 2546, Australia 02 64940164 info@mimosawines.com.au","High","Review whether this is company, department, or person email before saving."
"13","technical_status","62","AU-0427","Restaurant — Mimosa Wines","https://mimosawines.com.au","1","","fetch_status","https://mimosawines.com.au","","High","Fetch status: 200. Use only if page fetched successfully."
"72","company_contact_page","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/bookings/","Make a booking","Medium","Review linked page for contact/form/KP details."
"72","company_contact_page","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","15","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","contact_link","https://thewinerysurryhills.com.au/contact/","Contact","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/any-event-any-night/","Any Event Any Night","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/boost-your-bar-tab/","Boost Your Bar Tab","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/bottomless-steak-frites/","Bottomless Steak & Frites","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","31","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","contact_link","https://thewinerysurryhills.com.au/events/bottomlessbrunch/","Bellini Disco Brunch","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/bring-me-lunch/","Bring Me Lunch","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","16","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","contact_link","https://thewinerysurryhills.com.au/events/celebrations-package/","Celebrations Package","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/happy-hour/","Aperitivo Happy Hour","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","16","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","contact_link","https://thewinerysurryhills.com.au/events/hens-parties/","Hens Party Package","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/kings-birthday/","King’s Birthday Brunch","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/local-heroes/","Local Heroes: Minus 18","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","16","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","contact_link","https://thewinerysurryhills.com.au/events/sip-and-slay-drag-brunch/","Sip & Slay Drag Bottomless Brunch","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/sunday-roast/","Sunday Roast","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/sunday-social/","Sunday Social","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/the-pass-loyalty-app/","The Pass – Loyalty App","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","contact_link","https://thewinerysurryhills.com.au/events/wine-flights/","Wine Flights & Wine Pairing","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","31","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","contact_link","https://thewinerysurryhills.com.au/functions/","Functions","Medium","Review linked page for contact/form/KP details."
"50","kp_context_hint","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","3","https://thewinerysurryhills.com.au/bookings/ | https://thewinerysurryhills.com.au/contact/","role_context","people","ning menu built around fresh produce, layered flavours, and the kind of generous, perfect-for-sharing plates that bring people together. It’s the kind of spot where long lunches spill into evenings and every table feels like a little escape. Make a booking What’s on at The Winery, Surry Hills King’s","Low","Use as a page-level KP hint; confirm person name/title before saving."
"13","technical_status","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au","1","","fetch_status","https://thewinerysurryhills.com.au","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au/bookings/","1","","fetch_status","https://thewinerysurryhills.com.au/bookings/","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","63","AU-0429","Restaurant &amp; Wine Bar - Visit The Winery, Surry Hills NSW","https://thewinerysurryhills.com.au/contact/","1","","fetch_status","https://thewinerysurryhills.com.au/contact/","","High","Fetch status: 200. Use only if page fetched successfully."
"114","department_or_company_email","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","3","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","email","reservations@southerncrossmotelgroup.com.au","n Cross, comfort is never far away. 💻 Learn more: southerncrossmotelgroup.com.au 📧 Email: reservations@southerncrossmotelgroup.com.au 📞 Call us: 1300 979 746 7 days ago View on Instagram | 1/7 @southerncrossmotelgroup • Fol","High","Review whether this is company, department, or person email before saving."
"108","company_email","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","1","","email","scmg-logo@2x-inverted-300x85.png","jpg 1920 1850 admin https://southerncrossmotelgroup.com.au/wp-content/uploads/Assets/Logo/SCMG-Logo@2x-inverted-300x85.png admin 2026-05-25 14:58:44 2026-05-25 14:58:47 Get to Know Your Property Manager – Peter W","High","Review whether this is company, department, or person email before saving."
"89","possible_key_person","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","3","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","key_person_name","Travel Bookings","events: ritory For Our Guests Our Restaurants Corporate & Travel Bookings Events & Conferences Weddings Our Company About Us FAQs Careers Contact Us Terms & Conditions Priva","Medium","Person name found near 'events' role. Verify person/company fit before saving to contacts."
"88","team_or_about_page","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","3","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","team_link","https://southerncrossmotelgroup.com.au/about-us/our-locations/","5 motels in New South Wales","Medium","Review linked page for contact/form/KP details."
"88","team_or_about_page","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","6","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","team_link","https://southerncrossmotelgroup.com.au/about/","https://southerncrossmotelgroup.com.au/about/","Medium","Review linked page for contact/form/KP details."
"72","company_contact_page","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","8","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","contact_link","https://southerncrossmotelgroup.com.au/about/corporate-travel-group-bookings/","https://southerncrossmotelgroup.com.au/about/corporate-travel-group-bookings/","Medium","Review linked page for contact/form/KP details."
"72","company_contact_page","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","6","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","contact_link","https://southerncrossmotelgroup.com.au/contact/","https://southerncrossmotelgroup.com.au/contact/","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","15","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","contact_link","https://southerncrossmotelgroup.com.au/events-and-conferences/","https://southerncrossmotelgroup.com.au/events-and-conferences/","Medium","Review linked page for contact/form/KP details."
"72","events_or_functions_contact","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","3","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","contact_link","https://southerncrossmotelgroup.com.au/portfolio-item/mackay-accommodationwindmill-motel-and-events-centre/","https://southerncrossmotelgroup.com.au/portfolio-item/mackay-accommodationwindmill-motel-and-events-centre/","Medium","Review linked page for contact/form/KP details."
"70","company_linkedin","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","5","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","company_linkedin_url","https://www.linkedin.com/company/southern-cross-motel-group","https://www.linkedin.com/company/southern-cross-motel-group","Low","Use as a manual LinkedIn review URL; do not treat as verified direct contact until person/company fit is confirmed."
"50","kp_context_hint","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","1","","role_context","culinary","gs Delicious menu, great atmosphere Our Restaurants The Southern Cross Motel Group takes pride in offering a delightful culinary experience at all of their restaurants, catering to the diverse tastes of their individual guests. From casual dining options to fine dining experiences, the group’s resta","Low","Use as a page-level KP hint; confirm person name/title before saving."
"50","kp_context_hint","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","3","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","role_context","events","ckhampton) Sugar Country Motor Inn (Bundaberg) Takalvan Motel (Bundaberg) The Palms Motel (Chinchilla) Windmill Motel & Events Centre (Mackay) NEW SOUTH WALES The Aberdeen Motel (Dubbo) Adelong Motel (Narrabri) Bowen Inn Motel (Lithgow) Parkes International Motor Inn (Parkes) Station Motel (Parkes)","Low","Use as a page-level KP hint; confirm person name/title before saving."
"50","kp_context_hint","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au/about/","2","https://southerncrossmotelgroup.com.au/about-us/our-locations/","role_context","operations","protect the environment while creating a sustainable experience for our guests and incorporate sustainability into our operations as much as possible by using solar energy, environmentally friendly soaps, shampoos and cleaning products throughout our properties, and will also be introducing drinkin","Low","Use as a page-level KP hint; confirm person name/title before saving."
"50","kp_context_hint","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au/about/","2","https://southerncrossmotelgroup.com.au/about-us/our-locations/","role_context","people","ality is about the friendly and generous entertainment of guests, visitors and strangers. We genuinely love meeting new people and being able to make your stay away from the comfort of your home, as relaxing as possible. Our Motel Locations We’re creating a network of high-quality motels and motor i","Low","Use as a page-level KP hint; confirm person name/title before saving."
"50","kp_context_hint","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","1","","role_context","staff","s provide a productive environment for innovating discussions and presentations. Southern Cross Motel Group’s dedicated staff will ensure that technical setup, catering, and logistical arrangements are all seamlessly taken care of. Choosing a conference room at a Southern Cross Motel Group property","Low","Use as a page-level KP hint; confirm person name/title before saving."
"50","kp_context_hint","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","3","https://southerncrossmotelgroup.com.au/about/ | https://southerncrossmotelgroup.com.au/about-us/our-locations/","role_context","team","ckdrop for your dream wedding, ensuring a memorable and enchanting experience for you and your guests. With a dedicated team of wedding professionals, we are committed to bringing your vision to life and creating an unforgettable celebration that reflects your unique love story. From intimate ceremo","Low","Use as a page-level KP hint; confirm person name/title before saving."
"13","technical_status","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au","1","","fetch_status","https://southerncrossmotelgroup.com.au","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au/about-us/our-locations/","1","","fetch_status","https://southerncrossmotelgroup.com.au/about-us/our-locations/","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","64","AU-0445","Southern Cross Motel Group - Regional Accommodation","https://southerncrossmotelgroup.com.au/about/","1","","fetch_status","https://southerncrossmotelgroup.com.au/about/","","High","Fetch status: 200. Use only if page fetched successfully."
"102","official_form_candidate","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au/page_id-143/","1","","contact_form","https://australianmotelgroup.com.au/page_id-143/","contact_form form method=post action=../page_id-143/ Please enable JavaScript in your browser to complete this form. Name * Phone Number * Email * Message Website Submit","High","Official page contains a form; save as company_contact_form_url only if it is a contact/enquiry form, not only a booking widget."
"88","team_or_about_page","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au","6","https://australianmotelgroup.com.au/page_id-141/ | https://australianmotelgroup.com.au/page_id-143/","team_link","https://australianmotelgroup.com.au/page_id-141/","About","Medium","Review linked page for contact/form/KP details."
"72","company_contact_page","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au","6","https://australianmotelgroup.com.au/page_id-141/ | https://australianmotelgroup.com.au/page_id-143/","contact_link","https://australianmotelgroup.com.au/page_id-143/","Contact","Medium","Review linked page for contact/form/KP details."
"50","kp_context_hint","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au/page_id-141/","1","","role_context","management","lackall Explorers Inn Emerald Contact About About Australian Motel Group WE ARE A GROUP OF PROFESSIONALS WITH EXTENSIVE MANAGEMENT BACKGROUNDS IN HOSPITALITY WITH A COMBINED 150 YEARS IN HOTELS, MOTELS, RESORTS, INTERNATIONAL KITCHENS, RESTAURANTS, CAFES, AND BARS. DURING COVID WE FOUND WHILE TRAVEL","Low","Use as a page-level KP hint; confirm person name/title before saving."
"50","kp_context_hint","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au/page_id-141/","1","","role_context","staff","E MARKETPLACE FOR An INDUSTRY THAT WAS REBOUNDING FROM COVID BORDER CLOSURES AND LOCKDOWNS. SOLELY RELYING ON UNTRAINED STAFF, AND OFTEN OVERWORKED AND CONSTANTLY ABUSED MANAGEMENT (MANY THEMSELVES UNTRAINED) BY THEIR GUESTS NOT REALIZING THE REALITY OF THE DIFFICULTIES THE INDUSTRY IN GENERAL BUT M","Low","Use as a page-level KP hint; confirm person name/title before saving."
"13","technical_status","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au","1","","fetch_status","https://australianmotelgroup.com.au","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au/page_id-141/","1","","fetch_status","https://australianmotelgroup.com.au/page_id-141/","","High","Fetch status: 200. Use only if page fetched successfully."
"13","technical_status","65","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","https://australianmotelgroup.com.au/page_id-143/","1","","fetch_status","https://australianmotelgroup.com.au/page_id-143/","","High","Fetch status: 200. Use only if page fetched successfully."
"94","phone_candidate","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au","7","https://salterbrothers.com.au/about/ | https://salterbrothers.com.au/about/our-boards/","phone","+61 3 9258 2100","ia Investor Portal Advisory Corporate & Strategic Advisory Mergers & Acquisitions Contact +61 3 9258 2100 2025 Copyright © Salter Brothers Privacy Policy | Legal Disclaimer Salter Brothers Asset","Medium","Review whether this is company or person phone before saving."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","Board Paul Salter","director: ealand (CAANZ). Salter Brothers Hotel Company Ltd Board Paul Salter Managing Director Full bio Paul is the Managing Director of Salter Brothers, Salter Brothers Hotel","Medium","Person name found near 'director' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au","1","","key_person_name","Causeway Asset","management: tion outcomes. Read more Salter Brothers acquires Causeway Asset Management, expanding its private credit business Salter Brothers is pleased to announce its acquis","Medium","Person name found near 'management' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","Chris Calvert","director: atives Industry Association Accreditation, PS146. Chris Calvert Director Full bio Chris is an Non-Executive Director of Salter Brothers Asset Management. He has 30","Medium","Person name found near 'director' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","George Boubouras","director: chieving Fellowship status in both organisations. George Boubouras Director & Investment Advisor Full bio George is a Director of Salter Brothers Asset Management and","Medium","Person name found near 'director' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au","3","https://salterbrothers.com.au/about/ | https://salterbrothers.com.au/about/our-boards/","key_person_name","Investors Funds","management: s ESG Ratings & Awards Our Boards Our Senior Team Investors Funds Management Property Funds Equity Funds Credit Funds Decarbonisation Salter Brothers Emerging Compan","Medium","Person name found near 'management' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","Marcos Marcou","director: holds FINRA Qualifications (Series 7, 24 and 63). Marcos Marcou Director Full bio Marcos has over 30 years’ experience in leading and advising on mergers and acqui","Medium","Person name found near 'director' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","Paua Wealth","management: nvestment Committee (IC) Chair at ESSSuper, IC at Paua Wealth Management, Advisory Board Chair at the International Centre for Financial Services, part-time lect","Medium","Person name found near 'management' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","Paul Salter","director: ves Advisor Levels 1 & 2 with Macquarie Equities. Paul Salter Managing Director Full bio Paul is the Managing Director of Salter Brothers, Salter Brothers Hotel","Medium","Person name found near 'director' role. Verify person/company fit before saving to contacts."
"89","possible_key_person","66","AU-0448","Triguboff, followed by Salter Brothers as no.1 hotel owners","https://salterbrothers.com.au/about/our-boards/","1","","key_person_name","Robert Salter","founder: tered accountant and has practiced for 20+ years. Robert Salter Director Full bio Robert is a Founder and the Chief Executive Officer of Salter Brothers and has ov","Medium","Person name found near 'founder' role. Verify person/company fit before saving to contacts."
