lead_id,company_name,website,query
KW-0030,,,owner restaurant group Australia email OR phone OR contact
KW-0032,,,owner hotel group Australia email OR phone OR contact
KW-0025,,,"""new opening"" restaurant owner Australia"
KW-0016,,,"""owner"" ""restaurant owner"" Australia"
KW-0009,,,hotel group owner Australia
KW-0010,,,hotel F&B manager owner Australia
KW-0017,,,"""owner"" ""hotel group"" Australia"
KW-0011,,,pub group owner Australia
KW-0024,,,"""new opening"" restaurant group Australia"
KW-0007,,,hotel F&B manager Australia contact
